ticket_id,subject,message,category,priority
27,Change primary email address,I would like to change the primary email address associated with my account from old_email@example.com to new_email@example.com. Please let me know the process.,account_access,low
28,Integration with Zapier or Make.com,Are there any plans to integrate your service with Zapier or Make.com? It would greatly enhance automation capabilities and save a lot of manual work for us.,feature_request,medium
29,What are your support hours?,I'm located in PST. What are your standard customer support hours for live chat and phone calls? I couldn't find this information easily on the website.,general_query,low
30,Unauthorized charge on my credit card,"I just received an alert for a $199 charge from your company, but I do not have an active subscription and haven't used your service in months. This is an unauthorized transaction. Please investigate and refund immediately.",billing,high
31,Dashboard loading very slowly today,"Since this morning, my dashboard and project pages are taking an unusually long time to load, often more than 10-15 seconds. This is impacting my productivity. My internet connection is stable.",technical_issue,medium
32,Account security alert - Suspicious activity,"I received an email notification about a login from an unknown location. I suspect my account may have been compromised. I have changed my password, but please check for any unauthorized activity.",account_access,high
33,Request for more customizable report templates,"The current report templates are useful, but I'd love to see more options for customization, especially being able to select specific data points and rearrange sections easily.",feature_request,low
34,Where can I find video tutorials?,I'm a new user and looking for some video tutorials or a comprehensive guide to get started with the advanced features. Is there a dedicated section for this on your site or YouTube?,general_query,low
35,Cancel subscription and request refund,I would like to cancel my current annual subscription (account ID: user123) and request a prorated refund if possible. My business needs have changed.,billing,medium
36,Minor UI glitch in footer,"I noticed a small visual glitch on the website footer. The copyright text overlaps with the privacy policy link when viewed on a small laptop screen. Not critical, but wanted to report it.",technical_issue,low
37,Two-factor authentication not sending codes,"My 2FA isn't working. I'm not receiving the verification codes on my registered phone number, which is making it impossible to log in. This is urgent.",account_access,high
38,Feature Idea: Team Collaboration Tools,"We use your service for our team, and it would be incredibly helpful if there were more built-in collaboration features, like shared dashboards, comment threads on tasks, and document co-editing.",feature_request,medium
39,Compliment on recent update!,Just wanted to say that the new dashboard layout you rolled out last week is fantastic! It's much more intuitive and visually appealing. Great job to the dev team!,general_query,low
40,Payment Failed - Account Suspended,"My recent payment for invoice #INV2024-00123 seems to have failed, and now my account is suspended. I tried updating my card details but it didn't work. Please reactivate my service ASAP as it's critical for my business operations.",billing,high
41,Website extremely slow to load today,"Since about 9 AM PST today, your website has been loading very slowly. Pages take over 10-15 seconds to fully render. I've tried clearing my cache and using different browsers (Chrome, Firefox), but the issue persists. My internet connection is stable.",technical_issue,medium
42,Unable to log in - Password reset not working,"I forgot my password and requested a reset link, but it never arrived in my inbox (I checked spam too). My username is 'johndoe'. Can you please help me regain access to my account?",account_access,high
43,Feature Request: Dark Mode Option,"I'd love to see a dark mode option added to your application. It would be much easier on the eyes, especially when working late. Many other services offer this feature now.",feature_request,low
44,Question about customer support hours,Could you please tell me your standard customer support operating hours? I'm in the UK and want to know the best time to call for live assistance.,general_query,low
45,Invoice dispute - Incorrect charge,"I was charged $50 for extra storage this month, but I never upgraded my plan. My current plan should only be $25. Please review invoice #INV2024-00124 and adjust the charge accordingly.",billing,medium
46,Mobile app crashing frequently on iOS,"Your mobile app (version 2.1.0) is crashing constantly on my iPhone 14 Pro (iOS 17.3.1). It happens every few minutes, especially when I try to upload a document. It's making the app unusable.",technical_issue,high
47,Cannot change primary email address,"I'm trying to change my primary email address from old@example.com to new@example.com in my account settings, but it keeps giving me an 'invalid email' error. Both emails are valid.",account_access,medium
48,Feature Request: Slack Integration,"It would be incredibly helpful if you offered direct integration with Slack. We use Slack for all our team communication, and an integration would streamline our workflow significantly.",feature_request,low
49,How do I upgrade my subscription plan?,I'm looking to upgrade my current Basic plan to the Professional plan. Can you guide me through the process or let me know where in the dashboard I can do this?,general_query,medium
50,Error 404 on specific report page,"Whenever I try to access the 'Monthly Sales Performance' report, I get a '404 Not Found' error. All other reports seem to be working fine. This started happening yesterday.",technical_issue,medium
51,Query about upcoming subscription renewal,My annual subscription is due to renew next month. I wanted to confirm the exact renewal date and the amount that will be charged. My account ID is ABC-123.,billing,low
52,Account locked due to multiple login attempts,My account (username: 'sarah.k') has been locked after I tried logging in too many times with the wrong password. I remember it now! Could you please unlock it for me?,account_access,high
53,Custom reporting options suggestion,"I'd like to suggest adding more customizability to the reporting section. Specifically, the ability to select specific date ranges and filter by multiple user roles would be fantastic.",feature_request,medium
54,Where can I find documentation for API integration?,I'm looking to integrate your service with our internal system via your API. Can you point me to the developer documentation or API reference guide?,general_query,low
55,Data not syncing between desktop and mobile app,"I'm experiencing an issue where data entered on the desktop application isn't syncing to the mobile app, and vice-versa. This has been going on for the past 24 hours. My account is user@company.com.",technical_issue,high
56,Credit card update failing repeatedly,"I'm trying to update my credit card information for my subscription, but every time I enter the new card details, I get a 'payment processing error'. The card is valid and has sufficient funds.",billing,medium
57,Request to permanently delete my account,"I would like to request the permanent deletion of my account and all associated data. Please provide instructions on how to proceed, or confirm if you can action this for me directly.",account_access,high
58,UI/UX Suggestion: Redesign dashboard layout,"I find the current dashboard layout a bit cluttered. Perhaps a redesign that allows for customizable widgets or a cleaner, more minimalist view would improve user experience.",feature_request,low
59,Feedback on recent service update,I just wanted to provide some positive feedback on your latest update. The new analytics dashboard is a huge improvement and very intuitive. Great job!,general_query,low
60,Cannot reset password - link expired,"Hi, I tried to reset my password, but the link sent to my email keeps expiring before I can use it. Can you help me gain access to my account?",account_access,high
61,Unexpected charge on my credit card statement,"I see a charge of $49.99 on my statement from your company, but I don't recall making this purchase or having an active subscription. Please investigate.",billing,high
62,Application crashes on startup,"The desktop application for your service crashes every time I try to launch it. I've reinstalled it multiple times, but the issue persists. I'm running Windows 10.",technical_issue,high
63,Website extremely slow today,"Your website has been incredibly slow and unresponsive all morning. Pages take forever to load, and I can't complete my work. Is there an outage?",technical_issue,medium
64,Suggestion: Export data to Google Sheets,"It would be great if we could export reports directly to Google Sheets, similar to the existing Excel export. This would streamline our workflow significantly.",feature_request,low
65,Question about service uptime guarantee,I'm considering upgrading my plan and wanted to know more about your service level agreement and uptime guarantees for premium subscribers.,general_query,low
66,Forgot my username,"I can't remember my username for my account. I know my email address, but the 'forgot username' option isn't available. Can you help me retrieve it?",account_access,medium
67,Invoice for May not received,I haven't received the invoice for my May subscription. Could you please resend it to my billing email address?,billing,medium
68,Error 'Invalid data input' when saving,"Whenever I try to save changes to my profile, I get an 'Invalid data input' error. I've checked all fields, and everything seems correct.",technical_issue,high
69,Change primary email address for account,I'd like to change the primary email address associated with my account from 'oldemail@example.com' to 'newemail@example.com'. How can I do this?,account_access,medium
70,What are the differences between Pro and Enterprise plans?,Could you provide a detailed comparison of the features included in your Pro and Enterprise subscription plans? I'm trying to decide which one is best for my team.,general_query,low
71,Update credit card details,My credit card on file is expiring next month. I need to update my billing information to avoid any service interruptions. Please guide me through the process.,billing,medium
72,Mobile app freezing constantly,"The mobile app (iOS version) has started freezing and becoming unresponsive frequently, forcing me to force-close it. This started after the last update.",technical_issue,high
73,Request for more notification customization options,"I love the notification system, but it would be really helpful to have more granular control over what kind of notifications I receive and for which projects. For example, only critical alerts.",feature_request,low
74,Account locked - Too many login attempts,My account has been locked due to too many failed login attempts. I think someone might be trying to access my account. Please unlock it and advise on security measures.,account_access,high
75,Refund request for unused subscription period,"I cancelled my annual subscription two weeks ago, but I was charged for the full year. I would like to request a refund for the remaining unused portion of my subscription.",billing,high
76,Dashboard data not refreshing,My dashboard analytics haven't updated in the last 24 hours. The data shown is still from yesterday. Is there a delay or an issue with data processing?,technical_issue,medium
77,Can I transfer my license to another user?,"Our team member who used your software has left the company. Can I transfer their license to a new employee, or do I need to purchase a new one?",general_query,low
78,Enable multi-factor authentication (MFA),I'd like to enable multi-factor authentication (MFA) on my account for added security. I don't see an option for it in my settings. Is this feature available?,feature_request,medium
79,Trial account expired unexpectedly,My free trial account ended a week earlier than stated when I signed up. I still had features I wanted to test. Could you extend it or reactivate it for a few more days?,account_access,medium
80,Credit Card Declined for Subscription Renewal,"My subscription for account 'user123' was supposed to renew today, but I received an email saying my payment method was declined. My card should be active. Can you please check this and help me update it if needed?",billing,high
81,Website extremely slow and unresponsive,"For the past hour, the website has been incredibly slow. Pages take ages to load, and sometimes it just times out. I've tried clearing my cache and using a different browser, but the issue persists. Is there a known outage?",technical_issue,high
82,Password reset link not working,"I forgot my password and requested a reset link. I received the email, but when I click the link, it either shows an error page or takes me back to the login page without allowing a reset. My username is 'johndoe'.",account_access,high
83,Request for Trello integration,"It would be really helpful if your platform could integrate with Trello. We manage all our projects there, and having a direct connection would streamline our workflow significantly. Is this something you're considering?",feature_request,low
84,How to set up recurring reports?,"I'm trying to figure out how to schedule reports to be generated and emailed weekly. I found the 'Reports' section, but I can't see an option for recurring schedules. Can you provide instructions?",general_query,medium
85,Invoice amount discrepancy for October,"I received my invoice for October (INV-2023-10-00123), and the amount charged is higher than expected. I believe there's an extra charge for a service I cancelled last month. Can you please review this?",billing,high
86,Data not saving after update on dashboard,"After updating some settings on my main dashboard, the changes are not being saved. I click 'Save', the page refreshes, but the old settings are still there. This is preventing me from using key functionalities. Happens on Chrome and Firefox.",technical_issue,high
87,Unable to log in - forgotten username,"I can't remember the username associated with my account. I've tried a few possibilities, but none work. My email address linked to the account is 'sarah.jones@example.com'. Can you help me retrieve my username?",account_access,medium
88,Suggestion: Add a dark mode option,"Many modern applications offer a dark mode, which is much easier on the eyes, especially during evening use. I'd love to see this feature implemented in your software. It would greatly improve the user experience.",feature_request,low
89,Question about service uptime history,I'm evaluating your service for my business and would like to know if you provide public uptime history or a status page where I can track past incidents and current operational status. Thank you.,general_query,low
90,Request for refund on unused annual subscription,"I purchased an annual subscription (Order #XYZ789) two weeks ago, but due to unforeseen circumstances, we will no longer be needing the service. We haven't used it at all. Could I request a full refund?",billing,high
91,Mobile app crashing repeatedly on iOS,"My mobile app (iOS, version 1.5.3) keeps crashing every time I try to open the 'Analytics' section. It happens consistently. I've reinstalled the app and restarted my phone, but the issue persists. My device is an iPhone 14 Pro.",technical_issue,high
92,2FA code not being sent to my phone,"I'm trying to log in, and it's asking for a 2FA code, but I'm not receiving it on my registered phone number (ending in 5678). I've checked my signal and tried restarting my phone. This is preventing me from accessing my account.",account_access,high
93,Export search results to CSV/Excel,"Currently, I can only view search results on the page. It would be incredibly useful if there was an option to export these results, especially when dealing with large datasets, into a CSV or Excel file for further analysis.",feature_request,medium
94,Clarification on Professional vs. Business plans,"I'm confused about the differences between your Professional and Business plans. Specifically, I need to know which features are exclusive to the Business plan and if there's a user limit difference. The website description is a bit vague.",general_query,medium
95,Update payment method for recurring charges,"I need to update the credit card on file for my recurring subscription. My old card is expiring soon. Can you guide me on where to do this in my account settings, or if I need to do it through support?",billing,medium
96,Email notifications for new comments not received,"I'm not receiving email notifications when new comments are posted on my projects. I've checked my notification settings within the app, and they are enabled. My spam folder is also empty. Please investigate.",technical_issue,medium
97,Account locked due to too many failed login attempts,My account 'client_support_team' has been locked after several failed login attempts. I think one of my team members might have tried too many times. Could you please unlock it for us? We need access urgently.,account_access,high
98,Inquiry about API access and documentation,"We are looking into integrating your service with our internal tools. Do you offer an API for programmatic access? If so, could you point me to the API documentation and any developer resources available?",feature_request,medium
99,General inquiry about partnership opportunities,"Our company, 'Innovate Solutions Inc.', is interested in exploring potential partnership opportunities with your organization. Could you direct me to the appropriate contact person or department to discuss this further?",general_query,low
100,Payment failed for current month,"Hi, my subscription payment for this month seems to have failed. I've updated my card details but it still shows as pending. Can you please check?",billing,high
101,App keeps crashing on startup (iOS),My app (version 2.3.1) on iOS 16.5 crashes immediately after I try to open it. I've tried reinstalling and restarting my phone. Please help!,technical_issue,high
102,Cannot log in - account locked,"My account 'john.doe@example.com' seems to be locked. I tried resetting my password multiple times, but now it says my account is temporarily suspended due to too many attempts. I need urgent access.",account_access,high
103,Feature Request: Dark Mode for Web App,"It would be great if you could implement a dark mode option for the web application. It would be much easier on the eyes, especially during late-night work sessions.",feature_request,low
104,How to export all project data?,I'm looking for a way to export all my data related to a specific project. Is there an option for a full data dump or CSV export?,general_query,medium
105,Incorrect charge on my statement,I was charged $50.00 twice on May 15th. My subscription is only $25.00/month. Can you please investigate and refund the duplicate charge?,billing,high
106,Website extremely slow today,The website has been loading very slowly for me all morning. Pages take upwards of 10-15 seconds to load. Is there a server issue?,technical_issue,medium
107,Change primary email address,I need to change the primary email address associated with my account from 'old@email.com' to 'new@email.com'. How can I do this?,account_access,medium
108,Request for more customizable reports,"The current reporting features are good, but I'd love to see more options for custom filters and data visualization in the reports section. Specifically, the ability to combine metrics from different modules.",feature_request,low
109,Questions about API rate limits,Could you provide more detailed information about the API rate limits for the Enterprise plan? I'm planning a new integration and need to ensure compliance.,general_query,medium
110,Refund request for unused subscription,I accidentally renewed my subscription for another year but realized I no longer need the service. Can I get a refund for the unused portion? My account is under 'jane.doe@example.com'.,billing,medium
111,Data synchronization issue with third-party app,"My integration with Salesforce stopped synchronizing data yesterday. I've re-authenticated the connection multiple times, but it still shows errors. Could you look into this?",technical_issue,high
112,2-Factor Authentication not working,"I'm trying to log in but my 2FA code is not being accepted. I'm using an authenticator app, and the time is synced. I'm stuck at the login screen.",account_access,high
113,Allow multiple users to edit the same document simultaneously,"It would be incredibly helpful if multiple team members could edit the same document at the same time, similar to Google Docs. This would greatly improve our collaboration workflow.",feature_request,medium
114,What are the exact differences between Pro and Business plans?,"I'm considering upgrading but I'm a bit confused by the feature comparison on your pricing page. Can you clarify the key differences, especially regarding user roles and advanced analytics?",general_query,low
115,"Subscription automatically renewed, wanted to cancel","My subscription renewed automatically today, but I intended to cancel it before the renewal date. I must have missed the cutoff. Is it possible to revert this and get a refund?",billing,high
116,Dashboard widgets not loading correctly,"Several of my dashboard widgets, particularly the 'Active Users' and 'Revenue Trends' ones, are showing blank or incomplete data. This started happening this morning. I'm using Chrome.",technical_issue,medium
117,Forgotten username for account,I forgot the username for my account. I remember my email was likely a variation of 'sara.smith@domain.com'. Can you help me retrieve it?,account_access,medium
118,Add more keyboard shortcuts,"I'm a heavy keyboard user and would love to see more keyboard shortcuts implemented across the platform, especially for navigation and common actions within projects.",feature_request,low
119,Is your service GDPR compliant?,My company operates in the EU and we need to ensure all our service providers are GDPR compliant. Can you provide documentation or a statement regarding your compliance?,general_query,medium
120,Urgent: Double Charged for Monthly Subscription,"My credit card was charged twice on 2023-11-05 for the monthly subscription. My account shows one active subscription, but my bank statement shows two charges for $49.99. Please investigate and refund the duplicate charge immediately.",billing,high
121,Data Export Functionality Not Working,"When I try to export my report data to CSV, the file downloads but it's always empty or contains only headers. I've tried multiple browsers (Chrome, Firefox) and different reports. This started happening yesterday.",technical_issue,medium
122,Cannot log in - 'Invalid Credentials' Error,"I'm unable to log into my account. I've tried resetting my password multiple times using the 'Forgot Password' link, but it keeps telling me 'Invalid Credentials' even after setting a new one. My account email is user@example.com. I need access urgently.",account_access,high
123,Request for Dark Mode Option,"I'd love to see a dark mode option added to the platform. It would be much easier on the eyes, especially for late-night work.",feature_request,low
124,How to change notification settings?,I'm trying to find where I can manage my email notification preferences. I seem to be getting too many updates. Can you point me to the right section in the settings?,general_query,low
125,Invoice query for October 2023,"I received the invoice for October, but the usage listed seems higher than what we actually consumed. Could you please provide a detailed breakdown or clarify how the usage is calculated for that period? Invoice ID: INV-2023-10-54321.",billing,medium
126,Website is down for all users in our organization,Our team is reporting that the entire website is inaccessible. We are getting a 500 error when trying to load any page. This is affecting all our operations. Please investigate immediately.,technical_issue,high
127,User profile information incorrect,"I recently updated my profile picture and job title, but they are not reflecting on my public profile page. It's still showing the old information. My username is @jane_doe.",account_access,medium
128,API integration for custom reporting,We would like to integrate our internal reporting tool with your platform via an API to pull specific data points automatically. Do you have an API available or plans to develop one in the near future?,feature_request,medium
129,Product roadmap for Q1 2024,Could you share any information regarding your product roadmap for the first quarter of 2024? We're planning some projects and would like to align with your upcoming features.,general_query,medium
130,Upgrade subscription plan inquiry,"I'm looking to upgrade my subscription from the Basic to the Pro plan. What is the process for this, and will the change be prorated or take effect at the next billing cycle?",billing,low
131,Intermittent loading issues on dashboard,"My dashboard sometimes takes a very long time to load, or certain widgets just show a spinning icon indefinitely. A refresh usually fixes it, but it's becoming frequent. I'm using Chrome version 119.0.6045.199.",technical_issue,medium
132,Change primary email address,I need to change the primary email address associated with my account from old_email@example.com to new_email@example.com. Please let me know the steps or if you can do it on your end.,account_access,low
133,Critical integration needed: Salesforce CRM,We desperately need an integration with Salesforce CRM. Our entire workflow relies on data being synced between your platform and our CRM. This is a blocking issue for our wider adoption of your product.,feature_request,high
134,Does your service support Euro currency?,I'm inquiring if your service offers billing in Euro or if it's only in USD. We operate internationally and prefer local currency options.,general_query,low
135,Payment method declined - Service interruption risk,"My primary payment method (card ending in 1234) was declined, and I received an email stating my service might be interrupted if not updated. I've tried updating but it still shows as declined. Please assist immediately to prevent service loss.",billing,high
136,Critical bug: Data corruption on 'Project Tasks' module,We've identified a critical bug where data entered into the 'Project Tasks' module is being corrupted or lost upon saving. This is affecting multiple users and leading to significant data loss. This needs urgent attention.,technical_issue,high
137,Account compromised - Suspicious activity,"I received notifications about login attempts from unusual locations (e.g., Russia, China) and saw some activity I don't recognize in my account history. I suspect my account has been compromised. Please lock it down and assist with securing it.",account_access,high
138,Add more options for email templates,The current selection of email templates is quite limited. It would be great to have more variety or customization options for branding and content.,feature_request,low
139,Compatibility with HubSpot CRM,"We are considering integrating your product with our existing setup, which uses HubSpot CRM. Do you have any known compatibility issues or official integrations with this platform?",general_query,medium
140,"Service completely down, cannot access portal",Our entire team is unable to log in to the platform. We're getting a 'Service Unavailable' error message. This is critical as we have deadlines today. Please investigate immediately.,technical_issue,high
141,Question about recent invoice #INV-2023-08-15,"I received an invoice for $150, but my plan is supposed to be $120/month. Can you please explain the discrepancy or correct the charge?",billing,medium
142,"Unable to log in, password reset not working","I forgot my password and tried to use the 'Forgot Password' link, but I'm not receiving the reset email. I've checked my spam folder. My account email is john.doe@example.com.",account_access,high
143,Feature request: Dark mode for dashboard,It would be great if you could implement a dark mode option for the dashboard. The bright interface can be a bit straining on the eyes during extended use.,feature_request,low
144,How to export data to CSV?,"I'm trying to export my project data into a CSV file, but I can't find the option anywhere. Can you guide me on how to do this?",general_query,medium
145,Application freezing when uploading large files,"When I try to upload files larger than 50MB, the application becomes unresponsive and often crashes. This happens consistently across different browsers.",technical_issue,medium
146,Duplicate charge on credit card statement,I've been charged twice for my subscription this month. One charge on August 1st and another on August 3rd for the same amount. Please refund the duplicate charge immediately.,billing,high
147,My account shows as 'suspended',I tried to log in today and received a message that my account has been suspended. I haven't violated any terms of service. Please reactivate it.,account_access,high
148,Integration with Slack for notifications,We heavily use Slack for team communication. It would be extremely helpful to receive notifications from your platform directly into our Slack channels. Is this something you're considering?,feature_request,medium
149,What are the storage limits for the Basic plan?,I'm on the Basic plan and want to know what the total storage limit is. I couldn't find this clearly stated on the pricing page.,general_query,low
150,Critical bug: Data not saving after submission,"When I fill out a form and click 'submit', it says it's saved, but when I refresh the page, the data is gone. This is preventing me from doing any work.",technical_issue,high
151,Update credit card details,My credit card expired. I need to update my payment information for my next billing cycle. Where can I do this in my account settings?,billing,low
152,Unauthorized access attempt notification,"I received an email alert about a login attempt from an unknown IP address (192.168.1.1) that was blocked. My account seems secure, but I'm concerned. Should I do anything?",account_access,medium
153,Suggestion: Add 'Select All' checkbox in list views,"When managing multiple items in a list, it would be much more efficient to have a 'Select All' checkbox at the top to perform bulk actions, rather than selecting each item individually.",feature_request,low
154,Is your service compatible with macOS Ventura?,I'm planning to update my Mac to Ventura and want to ensure that your desktop application will still function correctly without any compatibility issues.,general_query,medium
155,Pages loading very slowly in the last hour,"For the past hour, navigating between pages in the application has become incredibly slow. It takes 10-15 seconds for each page to load, which is unusual.",technical_issue,medium
156,Inquiring about upgrading my subscription plan,I'm interested in upgrading from the 'Pro' plan to the 'Enterprise' plan to get more features. Can you tell me the process and what the cost difference will be?,billing,medium
157,Change primary email address for my account,I need to change the primary email associated with my account from old.email@example.com to new.email@example.com. How can I initiate this change securely?,account_access,low
158,Crucial: Need ability to customize user roles,Our organization requires more granular control over user permissions. The current fixed roles don't meet our security and workflow needs. Custom role creation is essential for us.,feature_request,high
159,How to cancel my subscription?,"I'd like to cancel my subscription before the next billing cycle. Can you please provide instructions on how to do this, or process the cancellation for me?",general_query,medium
160,Unauthorized Charge on My Card,I noticed an unexpected charge of $49.99 on my credit card statement from your service. I do not recognize this transaction. Could you please investigate and explain this charge? I need this resolved urgently.,billing,high
161,App Crashes on Launch (iOS 16),"Since updating to iOS 16, your mobile application crashes immediately after I try to open it. I've tried reinstalling it, but the issue persists. My device is an iPhone 13 Pro.",technical_issue,medium
162,Cannot Log In - Password Reset Link Not Working,"I've forgotten my password and tried to use the 'Forgot Password' link several times. I receive the email, but when I click the link, it either says 'link expired' or leads to a blank page. I'm locked out of my account.",account_access,high
163,Feature Request: Dark Mode Option,"It would be great if you could implement a dark mode for your web application. It would be much easier on the eyes, especially during evening use.",feature_request,low
164,How to Export Data to CSV?,I'm trying to export my data to a CSV file but can't find the option. Can you please guide me on where to locate this feature within the dashboard?,general_query,medium
165,Invoice Question for October Subscription,"I received my invoice for October, and it seems to be higher than expected. Could you please provide a breakdown or explain the additional charges?",billing,medium
166,Website Down - Error 503 Service Unavailable,Your entire website is showing a '503 Service Unavailable' error. I can't access any of my services. Is there an outage? Please provide an ETA for resolution.,technical_issue,high
167,Request to Change Account Email Address,I'd like to change the primary email address associated with my account from oldemail@example.com to newemail@example.com. Please let me know the steps required or if you can do it for me.,account_access,medium
168,Feature Request: Integration with Slack,Many of my team members use Slack. It would be very beneficial if your service could integrate with Slack for notifications and updates.,feature_request,medium
169,Is your service compatible with Linux?,I'm a Linux user and wanted to know if your desktop application or any features are compatible with Linux operating systems.,general_query,low
170,Unable to Cancel Subscription - Charged Again,"I attempted to cancel my subscription last month, but I've just been charged again. The cancellation process seemed to fail. I need this subscription fully canceled and a refund for the latest charge.",billing,high
171,Dashboard Loading Very Slowly,"For the past few days, my dashboard has been loading extremely slowly, sometimes taking over 30 seconds to refresh. This is significantly impacting my workflow. My internet connection is stable.",technical_issue,medium
172,Account Locked After Multiple Login Attempts,"My account (username: JohnDoe123) has been locked due to too many incorrect login attempts. I'm now sure of my password, but can't get in. Please unlock my account.",account_access,high
173,Minor UI Suggestion: Larger Font for Dates,The date display in the activity log is quite small. It would be easier to read if the font size was slightly increased.,feature_request,low
174,Refund Policy Details,"Could you please clarify your refund policy? I'm considering purchasing a yearly plan, but want to understand the terms for cancellations and refunds.",general_query,medium
175,Payment Method Update Failed Repeatedly,"I'm trying to update my payment method to a new credit card, but it keeps failing with a generic error message 'Payment processing failed'. I've tried multiple times. My old card is expiring soon.",billing,medium
176,Data Missing from Recent Upload,"I uploaded a large CSV file yesterday around 3 PM EST, and it seemed to process fine, but a significant portion of the data is now missing from my reports. This is critical data. Please investigate immediately.",technical_issue,high
177,Assistance with Two-Factor Authentication Setup,I'm having trouble setting up two-factor authentication for my account. The QR code isn't scanning correctly with my authenticator app. Could I get some assistance?,account_access,medium
178,Feature Request: Custom Reporting Periods,"Currently, I can only generate reports for predefined periods (e.g., last 7 days, last 30 days). It would be very useful to have the ability to select custom date ranges for reports.",feature_request,medium
179,What are your customer support hours?,"I need to know your customer support operating hours, specifically for phone and live chat support, including weekends.",general_query,low
180,Unable to log in - Password reset not working,"Hi, I've tried to log in to my account (email: john.doe@example.com) several times, but the password reset link isn't being sent to my inbox. I've checked my spam folder. Can you please help me regain access?",account_access,high
181,Unexpected charge on my credit card,I noticed an unauthorized charge of $49.99 on my statement today from your service. My last payment was on [Date]. I don't recognize this charge and would like it investigated and refunded. My account email is jane.smith@example.com.,billing,high
182,Website is extremely slow today,"For the past few hours, your website (app.yourcompany.com) has been loading very slowly. Pages are taking 10-15 seconds to load, making it unusable. Is there a known issue?",technical_issue,medium
